videoname,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,SC_0,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,SC_7,SC_8,SC_9,TC_0,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,TC_9,TC2_0,TC2_1,TC2_2,TC2_3,TC2_4,TC2_5,TC2_6,TC2_7,TC2_8,TC2_9
[RA][test0413_config][QP42]_EVCA_540,2.1333103,2.3688204,2.1341696,2.3691585,2.134665,2.3664954,2.133739,2.3656409,2.134545,2.366571,114.89824,80.978966,115.01083,81.295685,114.740265,80.84621,115.82281,81.412994,115.39098,80.471306,0.0,96.649635,96.65983,96.50033,96.23046,96.26496,96.868866,96.79539,96.52522,96.48797,0.0,0.0,57.178074,35.60717,57.897446,35.98211,58.556698,36.209133,59.699963,38.580177
[RA][test0413_config][QP42]_VCA_540,2.1333103,2.3688204,2.1341696,2.3691585,2.134665,2.3664954,2.133739,2.3656409,2.134545,2.366571,114.89824,80.978966,115.01083,81.295685,114.740265,80.84621,115.82281,81.412994,115.39098,80.471306,0.0,49.77383,49.800186,49.073597,49.09991,49.338463,49.51108,48.968643,48.918194,49.53416,0.0,0.0,0.9331578,1.2018697,1.2537793,1.195152,1.4566754,1.4392949,1.2311784,1.8738439
[RA][test0413_config][QP42]_SITI_540,128.90054,108.8797,128.86504,108.85633,128.15536,108.23743,129.13719,108.74328,128.72438,107.39197,0.0,68.74705,68.73566,68.80791,68.87255,68.86507,68.9766,68.93723,68.87471,68.98122,0.0,0.0,31.595558,27.853012,31.916374,27.366764,32.144897,27.482552,33.237144,29.696726
[RA][test0413_config][QP42]_EVCA_540,2.1333103,2.3688204,2.1341696,2.3691585,2.134665,2.3664954,2.133739,2.3656409,2.134545,2.366571,114.89824,80.978966,115.01083,81.295685,114.740265,80.84621,115.82281,81.412994,115.39098,80.471306,0.0,96.649635,96.65983,96.50033,96.23046,96.26496,96.868866,96.79539,96.52522,96.48797,0.0,0.0,57.178074,35.60717,57.897446,35.98211,58.556698,36.209133,59.699963,38.580177
[RA][test0413_config][QP42]_VCA_540,2.1333103,2.3688204,2.1341696,2.3691585,2.134665,2.3664954,2.133739,2.3656409,2.134545,2.366571,114.89824,80.978966,115.01083,81.295685,114.740265,80.84621,115.82281,81.412994,115.39098,80.471306,0.0,49.77383,49.800186,49.073597,49.09991,49.338463,49.51108,48.968643,48.918194,49.53416,0.0,0.0,0.9331578,1.2018697,1.2537793,1.195152,1.4566754,1.4392949,1.2311784,1.8738439
[RA][test0413_config][QP42]_SITI_540,128.90054,108.8797,128.86504,108.85633,128.15536,108.23743,129.13719,108.74328,128.72438,107.39197,0.0,68.74705,68.73566,68.80791,68.87255,68.86507,68.9766,68.93723,68.87471,68.98122,0.0,0.0,31.595558,27.853012,31.916374,27.366764,32.144897,27.482552,33.237144,29.696726
[RA][test0413_config][QP42]_EVCA_540,2.1333103,2.3688204,2.1341696,2.3691585,2.134665,2.3664954,2.133739,2.3656409,2.134545,2.366571,114.89824,80.978966,115.01083,81.295685,114.740265,80.84621,115.82281,81.412994,115.39098,80.471306,0.0,96.649635,96.65983,96.50033,96.23046,96.26496,96.868866,96.79539,96.52522,96.48797,0.0,0.0,57.178074,35.60717,57.897446,35.98211,58.556698,36.209133,59.699963,38.580177
[RA][test0413_config][QP42]_VCA_540,2.1333103,2.3688204,2.1341696,2.3691585,2.134665,2.3664954,2.133739,2.3656409,2.134545,2.366571,114.89824,80.978966,115.01083,81.295685,114.740265,80.84621,115.82281,81.412994,115.39098,80.471306,0.0,49.77383,49.800186,49.073597,49.09991,49.338463,49.51108,48.968643,48.918194,49.53416,0.0,0.0,0.9331578,1.2018697,1.2537793,1.195152,1.4566754,1.4392949,1.2311784,1.8738439
[RA][test0413_config][QP42]_SITI_540,128.90054,108.8797,128.86504,108.85633,128.15536,108.23743,129.13719,108.74328,128.72438,107.39197,0.0,68.74705,68.73566,68.80791,68.87255,68.86507,68.9766,68.93723,68.87471,68.98122,0.0,0.0,31.595558,27.853012,31.916374,27.366764,32.144897,27.482552,33.237144,29.696726
[RA][test0307_config][QP14]_EVCA_540,2.0407743,2.1669934,2.0389616,2.1684797,2.0355105,2.1722383,2.0381694,2.1710722,2.0348144,2.1742737,111.4816,118.388725,111.644356,118.50594,111.58138,118.238716,111.51364,118.46242,111.6002,117.84584,0.0,101.46667,101.38223,101.51428,101.547386,101.518196,101.521034,101.77527,101.86644,102.14028,0.0,0.0,67.542274,65.03195,66.62261,66.41857,64.44097,65.71967,62.07508,65.12694
