videoname,B_0,B_1,B_2,B_3,B_4,B_5,B_6,B_7,B_8,B_9,SC_0,SC_1,SC_2,SC_3,SC_4,SC_5,SC_6,SC_7,SC_8,SC_9,TC_0,TC_1,TC_2,TC_3,TC_4,TC_5,TC_6,TC_7,TC_8,TC_9,TC2_0,TC2_1,TC2_2,TC2_3,TC2_4,TC2_5,TC2_6,TC2_7,TC2_8,TC2_9
[RA][test0413_config][QP42]_EVCA_360,4.788822,5.264843,4.7978945,5.25911,4.7943788,5.252454,4.7961473,5.2535505,4.796141,5.260636,119.96568,85.19127,120.03133,85.41568,119.74808,84.175896,120.07593,85.654724,120.06047,84.385185,0.0,99.220116,99.11841,99.11383,98.793396,98.64447,98.93721,98.98911,98.92864,98.730774,0.0,0.0,53.62566,30.822664,52.47458,34.28115,51.42466,34.10504,54.547035,34.62557
[RA][test0413_config][QP42]_VCA_360,4.788822,5.264843,4.7978945,5.25911,4.7943788,5.252454,4.7961473,5.2535505,4.796141,5.260636,119.96568,85.19127,120.03133,85.41568,119.74808,84.175896,120.07593,85.654724,120.06047,84.385185,0.0,47.17065,47.0866,47.151215,47.03747,47.282013,47.540596,46.97333,46.612946,47.003696,0.0,0.0,0.7553974,0.90541464,0.91412,1.4287955,0.7381021,1.6737616,0.8384147,1.5136988
[RA][test0413_config][QP42]_SITI_360,133.14598,113.874626,133.27914,114.1249,132.40793,111.5483,132.7296,114.651566,132.58333,111.715454,0.0,69.398125,69.33974,69.3137,69.52843,69.58739,69.55329,69.493866,69.5668,69.68486,0.0,0.0,29.839937,22.070492,29.483273,26.541508,28.77044,26.08012,31.455404,25.65978
[RA][test0496_config][QP10]_EVCA_360,3.891209,4.3800387,3.8920624,4.385193,3.894642,4.3859572,3.8923883,4.38736,3.8960016,4.386064,109.70835,110.19415,109.63493,110.03637,109.88978,109.981735,109.97231,109.9135,110.06037,110.151474,0.0,99.295654,99.199104,99.06965,99.2475,99.27086,99.31834,99.39965,99.42462,99.3861,0.0,0.0,27.044565,23.434004,10.07252,8.818173,9.752549,11.701926,13.894031,15.573961
[RA][test0496_config][QP10]_VCA_360,3.891209,4.3800387,3.8920624,4.385193,3.894642,4.3859572,3.8923883,4.38736,3.8960016,4.386064,109.70835,110.19415,109.63493,110.03637,109.88978,109.981735,109.97231,109.9135,110.06037,110.151474,0.0,25.24019,25.148293,25.138504,25.267996,25.331047,25.369461,25.527538,25.622543,25.374653,0.0,0.0,0.6923929,0.76183784,0.35312515,0.2581145,0.28333881,0.4723429,0.31065002,0.64759505
[RA][test0496_config][QP10]_SITI_360,128.34436,149.40997,128.1251,149.0133,128.2751,148.96835,128.3686,148.99658,128.47487,149.24345,0.0,80.61976,80.667694,80.7203,80.71066,80.69451,80.70555,80.63745,80.67986,80.69844,0.0,0.0,14.216253,12.814579,7.218043,5.8514004,6.8180203,9.566464,8.798167,10.5173
[RA][test0307_config][QP14]_EVCA_360,4.617899,4.9738946,4.611048,4.9675617,4.603634,4.9906716,4.606653,4.9790325,4.5974407,4.995321,114.66859,125.621796,114.84709,125.9871,115.13567,125.70603,115.54174,126.4291,115.639404,125.53575,0.0,103.72935,103.94986,104.16995,104.06143,103.662506,103.81682,104.51336,104.46025,104.45825,0.0,0.0,62.561546,61.034107,61.170723,63.653576,60.42666,62.355206,57.80286,61.23435
[RA][test0307_config][QP14]_VCA_360,4.617899,4.9738946,4.611048,4.9675617,4.603634,4.9906716,4.606653,4.9790325,4.5974407,4.995321,114.66859,125.621796,114.84709,125.9871,115.13567,125.70603,115.54174,126.4291,115.639404,125.53575,0.0,22.709318,22.260077,22.330463,22.15021,22.482275,22.8183,23.350925,22.936823,23.360445,0.0,0.0,1.768829,1.4807254,1.7768776,1.8245252,2.040769,1.9313486,1.3895134,1.9913714
[RA][test0307_config][QP14]_SITI_360,133.45343,170.87997,134.03366,172.30699,133.58688,171.4737,134.45125,173.45406,134.63757,172.2311,0.0,75.59332,75.527596,75.62423,75.58601,75.636536,75.730865,75.83443,75.77131,75.717834,0.0,0.0,37.55101,39.151352,36.14636,41.587494,35.63624,40.915394,33.42569,40.052494
[RA][test0366_config][QP36]_EVCA_360,4.5664372,4.863283,4.5664287,4.8619,4.560958,4.8654065,4.56445,4.865844,4.5621333,4.87423,146.1785,107.4671,146.13486,107.30043,146.0378,107.13483,146.12979,107.36144,146.2298,106.8931,0.0,116.633415,116.51194,116.38881,116.375465,116.331795,116.57663,116.5819,116.35245,116.402725,0.0,0.0,45.57038,22.884638,52.35544,26.10611,38.564873,24.924316,52.084583,27.986645
[RA][test0366_config][QP36]_VCA_360,4.5664372,4.863283,4.5664287,4.8619,4.560958,4.8654065,4.56445,4.865844,4.5621333,4.87423,146.1785,107.4671,146.13486,107.30043,146.0378,107.13483,146.12979,107.36144,146.2298,106.8931,0.0,39.696148,39.624847,39.7827,39.784634,39.945187,40.03149,39.880928,39.985817,40.29714,0.0,0.0,0.48165062,0.37653092,0.5680688,0.5421795,0.52190906,0.46283516,0.5451272,0.66480637
[RA][test0366_config][QP36]_SITI_360,145.88496,140.70029,145.72006,140.85956,145.54463,140.85658,145.63545,140.8763,145.79086,140.34915,0.0,82.58311,82.58134,82.591965,82.68646,82.65627,82.595436,82.6224,82.58585,82.639786,0.0,0.0,21.656134,13.366832,25.502443,15.06136,18.664286,14.620573,25.268858,15.970282
[RA][test0314_config][QP34]_EVCA_360,4.8643813,5.1546254,4.865892,5.1643357,4.8694777,5.1580043,4.8776236,5.1536727,4.878031,5.1592565,125.61294,113.58946,125.9249,113.620995,125.88202,113.049446,126.29408,113.59006,127.179436,113.186165,0.0,107.76086,107.39732,107.26578,107.645996,107.45535,107.52505,107.74256,108.25957,108.16228,0.0,0.0,73.85915,58.45859,71.75772,55.14217,72.25544,56.449333,71.758316,54.706417
[RA][test0314_config][QP34]_VCA_360,4.8643813,5.1546254,4.865892,5.1643357,4.8694777,5.1580043,4.8776236,5.1536727,4.878031,5.1592565,125.61294,113.58946,125.9249,113.620995,125.88202,113.049446,126.29408,113.59006,127.179436,113.186165,0.0,23.663286,23.408056,23.385374,23.210197,23.441889,23.40155,23.402983,23.446745,23.757465,0.0,0.0,1.9564308,1.5893148,1.3852358,1.5118387,1.5697877,1.9579087,2.0515234,1.6300738
[RA][test0314_config][QP34]_SITI_360,146.84674,153.46535,146.62088,154.76321,146.30415,154.0972,147.4957,154.3188,148.3969,153.7306,0.0,83.25508,83.02451,83.0221,83.041405,83.27342,83.263535,83.32885,83.462,83.51782,0.0,0.0,55.56447,41.691746,54.35109,39.290173,54.485844,40.29537,54.749287,39.276577
[RA][test0256_config][QP24]_EVCA_360,4.3060656,4.532864,4.2971883,4.5240574,4.295064,4.516007,4.2896395,4.506699,4.2940807,4.5167933,54.80307,92.29992,55.12662,91.717674,55.06365,91.43195,55.141895,92.85526,55.073296,91.55702,0.0,89.6008,89.571495,89.05482,89.09696,88.6677,88.80643,90.01851,89.92165,88.89925,0.0,0.0,20.765219,35.132614,20.53451,33.880722,20.316996,34.028957,20.2146,35.326824
[RA][test0256_config][QP24]_VCA_360,4.3060656,4.532864,4.2971883,4.5240574,4.295064,4.516007,4.2896395,4.506699,4.2940807,4.5167933,54.80307,92.29992,55.12662,91.717674,55.06365,91.43195,55.141895,92.85526,55.073296,91.55702,0.0,67.44449,67.37384,66.64932,66.70428,66.404465,66.499466,67.673805,67.56877,66.67355,0.0,0.0,0.6226808,1.0903118,0.4798781,1.0292015,0.671536,1.4136817,0.5996857,1.5443964
[RA][test0256_config][QP24]_SITI_360,91.506744,127.3115,91.42734,126.832214,91.560074,125.95043,91.61742,127.99508,91.718216,126.50249,0.0,77.16679,77.30424,77.28406,77.29477,77.25493,77.30593,77.30707,77.38367,77.41715,0.0,0.0,17.689278,24.043285,17.120226,22.886015,16.93506,23.244152,16.978468,23.83056
[RA][test0483_config][QP16]_EVCA_360,4.4668617,5.5872755,4.464996,5.5827284,4.4628577,5.5784044,4.4635115,5.570794,4.45586,5.554048,136.13104,94.62209,136.19354,94.31233,135.79277,94.43167,136.04282,94.42778,135.90816,94.00983,0.0,115.27742,115.3368,115.59125,115.22171,114.69063,115.08218,115.58503,114.92934,114.90531,0.0,0.0,83.88375,55.32735,81.702255,54.857845,85.0678,52.546177,85.41117,54.23285
[RA][test0483_config][QP16]_VCA_360,4.4668617,5.5872755,4.464996,5.5827284,4.4628577,5.5784044,4.4635115,5.570794,4.45586,5.554048,136.13104,94.62209,136.19354,94.31233,135.79277,94.43167,136.04282,94.42778,135.90816,94.00983,0.0,53.044415,53.251835,53.11579,52.58716,52.32567,52.212368,52.631275,52.70932,52.641014,0.0,0.0,1.8384428,1.1544293,1.3403472,1.31847,1.4652188,1.2806149,1.7500426,1.3398352
[RA][test0483_config][QP16]_SITI_360,146.19496,129.66884,146.68423,129.34148,145.81595,129.08961,145.67911,129.54375,145.15941,128.62686,0.0,71.31239,71.23499,71.329025,71.28123,71.45665,71.21031,71.4633,71.19708,71.30349,0.0,0.0,61.176098,49.57075,58.927723,49.20978,62.513924,49.551373,62.568233,51.19804
